"","X","File.Name","first_author_ep","measured_in_time_series_data_ep","hypothesized_driver_of_change_ep","level_of_analysis_ep","increase_decrease_ep","method.of.estimating_ep","raw.stats_ep","author_nd","measured_in_time_series_data_nd","level_of_analysis_nd","hypothesized_driver_of_change_nd","method_of_estimating_nd","increase_decrease_nd","raw_stats_nd","notes_nd","first_author_ib","measured_in_time_series_data_ib","level_of_analysis_ib","hypothesized_driver_of_change_ib","increase_decrease_ib","method_of_estimating_ib","raw_stats_ib","help_needed_ib","first_author_ps","population.structure._ps","genetic.structure._ps","spatial.structure._ps","genomic.structure._ps","measured_in_time_series_data_ps","hypothesized_driver_of_change_ps","increase_decrease_ps","method_of_estimating_ps","raw_stats_ps","measured_in_time_series_data_gf","level_of_analysis_gf","hypothesized_driver_of_change_gf","increase_decrease_gf","method_of_estimating_gf","raw_stats_gf","author_selection","measured_in_time_series_data_selection","central_question_regarding_selection_selection","outcome_of_central_question_selection","selection_level_of_analysis_selection","selection_hypothesized_driver_of_change_selection.x","selection_method_of_estimating_selection","selection_candidate_gene_list_selection","selection_coefficent_overall_selection","selection_coefficent_meanofoutliers_selection","first_author_last_name_drift","measured_in_time_series_data_drift","level_of_analysis_drift","hypothesized_driver_of_change_drift","method_of_estimating_drift","did_drift_have_effect_drift","raw_stats_drift","help_needed_drift","notes_drift","Author_fst","measured_in_time_series_data_fst","level_of_analysis_fst","hypothesized_diver_of_change_fst","spacetime_or_time_fst","sliding_window_vs_entire_genome_fst","candidate_gene_list_fst","raw_stats_fst","first_auhtor_tajima","measured_in_time_series_data_tajima","level_of_analysis_tajima","hypothesized_driver_of_change_tajima","sliding_window_vs_entire_genome_tajima","raw_stats_tajima","canidate_gene_tajima","help_needed_tajima","first_author_mc","measured_in_time_series_data_mc","level_of_anaylsis_mc","hypothesized_driver_of_change_mc","increase_decrease_mc","method_of_estimating_mc","raw_stats_mc","help_needed_mc","order_parallel","parallel._parallel","author_parallel","measured_in_time_series_data_parallel","evidence_of_parallel_evolution_parallel","snp_evidence_parallel","gene_protein_evidence_parallel","parallel_diversity.change_parallel","notes_parallel","collectedmonth_paperinfo","doi_paperinfo","year_paperinfo","journal_paperinfo","volume_paperinfo","issue_paperinfo","dbs_paperinfo","authors_paperinfo","first_author_paperinfo","keywords_paperinfo","Title_paperinfo","Notes_paperinfo","Type_paperinfo","Study.system_paperinfo","Taxon_paperinfo","Driver.of.change_paperinfo","Data.type_paperinfo","Experimental.design_paperinfo","Time.scale.years_paperinfo","Time.scale.generations_paperinfo","File.Name.1_paperinfo","revised","Driver.of.change.std_paperinfo"
"128",129,"10.1111_mec.17274.pdf","kellner","yes","hunting; anthropogenic","multiple_temporal","decrease","mean per-site Watterson's theta estimator, Kumar and Subramanian 2002","","kellner","yes","multiple_spatial","hunting","sliding window pi","no change; non-significant decrease","pre-hunting period: 3.34 10 -4; during hunting 3.35 10^-4; post hunting 3.23 10^-4","","kellner",NA,NA,NA,NA,NA,NA,NA,"Kellner","Yes","Yes","No","No","yes","hunting; anthropogenic factors","increase","PCA and admixture","see doc. ""The assignment of modern groups to estimate genetic clusters strongly correlates with geography, while ancient groups do not.""","yes","multiple_spatial; multiple_temporal","hunting; population decline; anthropogenic","decrease","PCA, NGSadmix","(Fig in doc) the spatiotemporal groups of ancient individuals are not strongly distinct from one another in the admixture analysis .","Kellner","yes","What genomic effects have a population bottleneck had on reindeer in Svalbard?","many regions of the genome experienced selection pre-and during hunting, but now they are undergoing drift","multiple temporal","hunting; anthropogenic","Fay and Wu's H, Fst","yes",NA,NA,"kellner","yes","multiple_temporal","bottleneck; human hunting; population loss; anthropogenic","allele frequency change","yes","median heterozygosity reduced by 26% over last 4000 years",NA,NA,"Kellner","yes","multiple temporal","hunting, anthropogenic","spacetime","both","yes","see doc","kellner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,"Yes","kellner","no",NA,NA,NA,NA,NA,"may","10.1111/mec.17274",2024,"MOL ECOL",33,"5","NA NA wos","Kellner; FL; Le Moullec; M; Ellegaard; MR; Rosvold; J; Peeters; B; Burnett; HA; Pedersen; AO; Brealey; JC; Dussex; N; Bieker; VC; Hansen; BB; Martin; MD","Kellner","ancient DNA; bottleneck; conservation genomics; genomic erosion; population genomics; Svalbard reindeer","a palaeogenomic investigation of overharvest implications in an endemic wild reindeer subspecies","Generation time from https://www.cell.com/iscience/fulltext/S2589-0042(23)01888-6","article ","vertebrate","Rangifer tarandus platyrhynchus","overharvest; anthropogenic","WGS","historical","2,500","417","10.1111_mec.17274.pdf","anthropogenic","anthropogenic"
"129",130,"10.1126_sciadv.aax0530.pdf",NA,NA,NA,NA,NA,NA,NA,"retel","yes","multiple_temporal","host-pathogen","model of allele frequencies","fluctuates","diversity increased and decreased during host-pathogen coevolution","see word document",NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"retel","yes","What role does selection play in host-virus coevolution?","candidate gene list","multiple_temporal","host-pathogen","allele frequency change","yes",NA,NA,"retel","no",NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141,"Yes","retel","yes","partial","partial",NA,NA,"some parallelism observed in parasites but not hosts","august","10.1126/sciadv.aax0530",2019,"",NA,"","","Retel C.; Kowallik V.; Huang W.; Werner B.; K√ºnzel S.; Becks L.; Feulner P.G.D.","Retel","","The feedback between selection and demography shapes genomic diversity during coevolution","","article","algae","Chlorella variabilis ","host-pathogen","WGS","experimental","0.2739726 or 100","100","10.1126_sciadv.aax0530.pdf","host-pathogen","host-pathogen"
"131",132,"10.1128_JB.00587-20.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dicks","yes","How did Staphylococcus aureus enterotoxin genes evolve from 1924-2016?","candidate gene list","multiple temporal","host-pathogen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143,"No",NA,NA,NA,NA,NA,NA,NA,"may","10.1128/JB.00587-20",2021,"Journal of Bacteriology",203,"10","NA scopus NA","Dicks J.; Turnbull J.D.; Russell J.; Parkhill J.; Alexander S.","Dicks","Enterotoxin gene family; Genome analysis; National Collection of Type Cultures; Staphylococcus aureus","genome sequencing of a historic staphylococcus aureus collection reveals new enterotoxin genes and sheds light on the evolution and genomic organization of this key virulence gene family","generation time varies extensively. this paper gives 80 min as long term average for nasal  colonization https://doi.org/10.1186/s12864-019-5604-6","article","bacteria","Staphylococcus aureus","host-pathogen","reduced representation","historical","92","604440","10.1128_JB.00587-20.pdf","host-pathogen","host-pathogen"
"134",135,"10.1128_JVI.02055-14.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"boyle","yes","How has bluetongue virus evolved in Northern Australia?","Largely purging selection, some regions experience positive selection","multiple_temporal","epidemic","MEME, SLAC, FEL, IFEL, REL, and FUBAR","yes",NA,NA,"boyle","no",NA,NA,NA,NA,NA,NA,"suggests drift is a factor but doesn't explicitly quantify it","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"boyle","yes","single","natural_evolution",NA,"path-o-gen used to investigate for clock-like-ness in molecular phylogenies",NA,NA,146,"No",NA,NA,NA,NA,NA,NA,NA,"august","10.1128/JVI.02055-14",2014,"",NA,"","","Boyle D.B.; Amos-Ritchie R.; Broz I.; Walker P.J.; Melville L.; Flanagan D.; Davis S.; Hunt N.; Weir R.","Boyle","","Evolution of bluetongue virus serotype 1 in northern Australia over 30 years","","article","virus","Bluetongue virus","host-pathogen","WGS","repeated","30 or 32","#N/A","10.1128_JVI.02055-14.pdf","host-pathogen","host-pathogen"
"135",136,"10.1128_mBio.00987-21.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zlamal","yes","Is the evolution to drug resistance parallel in three Gram-negative bacteria species?","In some ways yes and in other ways no; shared genes","multiple_temporal","antibiotics","novel mutation identification; minimum inhibitory concentration analyses of mutations","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,"Yes","zlamal","yes","partial",NA,"partial",NA,"mutations occurred in anywhere from 8 to 100% of replicates; Table1","august","10.1128/mBio.00987-21",2021,"",NA,"","","Zlamal; Jaime E.; Leyn; Semen A.; Iyer; Mallika; Elane; Marinela L.; Wong; Nicholas A.; Wamsley; James W.; Vercruysse; Maarten; Garcia-Alcalde; Fernando; Osterman; Andrei L.","Zlamal","","Shared and Unique Evolutionary Trajectories to Ciprofloxacin Resistance in Gram-Negative Bacterial Pathogens","","article","bacteria","E coli; Acinetobacter baumannii; Pseudomonas aeruginosa","experimental","WGS","experimental","0.010958904","288","10.1128_mBio.00987-21.pdf","host-pathogen","host-pathogen"
"136",137,"10.1128_mSystems.00495-21.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DebRoy","Yes","No","No","No","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"debroy","yes","Has selection of clonal lineages shaped Streptococcus evolution in recent time?","yes","multiple temporal","host-pathogen","phylogeny, structure","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DebRoy","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148,"Yes","debroy","no",NA,NA,NA,NA,NA,"may","10.1128/mSystems.00495-21",2021,"mSystems",6,"4","NA scopus NA","DebRoy S.; Sanson M.; Shah B.; Regmi S.; Vega L.A.; Odo C.; Sahasrabhojane P.; McGeer A.; Tyrrell G.J.; Fittipaldi N.; Shelburne S.A.; Flores A.R.","DebRoy","Evolution; Exotoxin; Genomics; Group A Streptococcus; M type; Population genetics; Virulence","population genomics of emm4 group a streptococcus reveals progressive replacement with a hypervirulent clone in north america","","article","bacteria","group A Streptococcus (GAS)","host-pathogen","WGS","historical","25","219000","10.1128_mSystems.00495-21.pdf","host-pathogen","host-pathogen"
"137",138,"10.1128_msystems.01477-21.pdf","hwang","yes",NA,"single",NA,"pneutral in nonconserved third codon positions as previously described by Kashtan et al. (9) In short, the formula Ne = 1.5pneutral/(m(324pneutral)) ",">2.3 x10^9","hwang","yes","multiple_spatial","natural evolution","nucleotide diversity","no change",NA,"Lots of pi stats but no comparisons over time",NA,NA,NA,NA,NA,NA,NA,NA,"Hwang","Yes","No","No","No","yes","temperature","increased","PCA and pairwise Fst","see doc",NA,NA,NA,NA,NA,NA,"hwang","yes","How does selection act on a microbe in different environments? Does it act on whole genomes or genes?","Largely through effects on regulatory genes","multiple_spatial","natural evolution","pN/pS; Fst","yes","","","huwang","no",NA,NA,NA,NA,NA,NA,NA,"Hwang","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149,"No",NA,NA,NA,NA,NA,NA,NA,"august","10.1128/msystems.01477-21",2022,"",NA,"","","Hwang; Yunha; Girguis; Peter R.","Hwang","","Differentiated Evolutionary Strategies of Genetic Diversification in Atlantic and Pacific Thaumarchaeal Populations","","article","bacteria","","natural evolution","metagenomics","repeated","2 or 1","#N/A","10.1128_msystems.01477-21.pdf","natural evolution","natural evolution"
"138",139,"10.1128_spectrum.01219-22.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"periwal","yes","What mutations exist in SARS-COV-2, which ones are correlated, and are they experiencing negative, positive, or neutral selection?","candidate gene list","multiple temporal","host-pathogen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,"Yes","periwal","no",NA,NA,NA,NA,"does discuss common mutations among sars viruses but does not explicitly test that goal ","august","10.1128/spectrum.01219-22",2022,"",NA,"","","Periwal N.; Rathod S.B.; Sarma S.; Johar G.S.; Jain A.; Barnwal R.P.; Srivastava K.R.; Kaur B.; Arora P.; Sood V.","Periwal","","Time Series Analysis of SARS-CoV-2 Genomes and Correlations among Highly Prevalent Mutations","","article","virus","Covid-19 virus","host-pathogen","WGS","historical","1.25 or 1.166666667","85.166691","10.1128_spectrum.01219-22.pdf","host-pathogen","host-pathogen"
"140",141,"10.1186_1471-2148-13-46.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bedhomme","yes","What impact does historical contingency have on evolution?","It impacts genotype but not phenotype","multiple_temporal","historical contingency",NA,NA,NA,NA,"bedhomme","no",NA,NA,NA,NA,NA,NA,"suggests drift is a factor but doesn't explicitly quantify it","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,"Yes","bedhomme","yes","no","no",NA,NA,"low level of parallel evolution; lots of divergence of sequences despite a shared environment","may","10.1186/1471-2148-13-46",2013,"BMC Evolutionary Biology",13,"1","NA scopus NA","Bedhomme S.; Lafforgue G.; Elena S.F.","Bedhomme","","genotypic but not phenotypic historical contingency revealed by viral experimental evolution","could not find generation time of this virus","article ","virus","tobacco etch potyvirus","host-pathogen","WGS","experimental","0.287",NA,"10.1186_1471-2148-13-46.pdf","host-pathogen","host-pathogen"
"141",142,"10.1186_s12711-024-00900-y.pdf","somenzi","yes","domestication; anthropogenic","multiple_spatial",NA,"SneP; currentNe","see notes file",NA,NA,NA,NA,NA,NA,NA,NA,"somenzi","yes","multiple_temporal","anthropgenic; replacement of local with ""more productive"" cattle","increase; almost all measures of inbreeding (Froh and mean ROH) increased from 2000-2018","Mean ROH & Froh","see notes doc",NA,"Somenzi","Yes","No","No","No","yes","genetic management; anthropogenic factors","no change","PCA","see doc","yes","multiple_spatial; multiple_temporal","disease; population decline; anthropogenic","increase","Treemix","(Fig in doc) Consistent with these historical documents, our admixture analysis at K = 8 (Fig. 2), revealed a genetic component shared among a number of breeds from the Alps and the Po valley. This result is further supported by the Treemix results (Fig. 4), which indicate three gene flow events affecting the northern Italian cattle.","somenzi","yes","How did selection act on a unique Italian cattle breed?","milk and meat production, environmental adaptation, immune response","multiple_temporal","breeding; anthropogenic","EHH, decay of haplotype homozygosity as genetic distance increases","yes","","","somenzi","no",NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,"No",NA,NA,NA,NA,NA,NA,NA,"may","10.1186/s12711-024-00900-y",2024,"GENET SEL EVOL",56,"1","NA scopus wos","Somenzi E.; Partel E.; Barbato M.; Chero Osorio A.M.; Colli L.; Franceschi N.; Mantovani R.; Pilla F.; Komjanc M.; Achilli A.; Hauffe H.C.; Ajmone Marsan P.","Somenzi","","genetic legacy and adaptive signatures: investigating the history; diversity; and selection signatures in rendena cattle resilient to eighteenth century rinderpest epidemics","","article","vertebrate","Bos primigenius","anthropogenic","reduced representation","historical","18","4.5","10.1186_s12711-024-00900-y.pdf","anthropogenic","anthropogenic"
"142",143,"10.1186_s12862-016-0662-8.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"plucain",NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"plucain","yes","What impact does historical contingency have on evolution?","It impacts it","multiple_temporal","historical contingency",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,"Yes","plucain","yes","no","no","partial",NA,"mutations in 7 genes detected in >1 population; mutated genes were largely environment-specific in the first phase. Little parallelism/contingency in the second phase of evolution","may","10.1186/s12862-016-0662-8",2016,"BMC EVOL BIOL",16,"1","NA scopus wos","Plucain J.; Suau A.; Cruveiller S.; M√©digue C.; Schneider D.; Le Gac M.","Plucain","Adaptation; Epistasis; Escherichia coli; Experimental evolution; Historical contingency","contrasting effects of historical contingency on phenotypic and genomic trajectories during a two-step evolution experiment with bacteria","","article","bacteria","escherichia coli","experimental","WGS","experimental","0.341","1000","10.1186_s12862-016-0662-8.pdf","experimental","experimental"
"143",144,"10.1186_s12862-021-01789-7.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"o'hara","yes","Did a drought cause selection on genes related to fungal pathogen resistance in Brassica rapa?","yes","multiple_temporal","climate change; anthropogenic","Fst, Tajima's D","yes","","","o'hara","no",NA,NA,NA,NA,NA,NA,NA,"O'Hara","yes","multiple spatial","pathogens and drought","spacetime","both","yes","see doc","o'hara","yes","multiple_spatial","drought; climate change; anthropogenic","sliding window","see notes doc","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,155,"No",NA,NA,NA,NA,NA,NA,NA,"may","10.1186/s12862-021-01789-7",2021,"BMC ECOL EVOL",21,"1","NA scopus wos","O‚ÄôHara N.B.; Franks S.J.; Kane N.C.; Tittes S.; Rest J.S.","O‚ÄôHara","Alternaria brassicae; Brassica rapa; Climate change; Drought; Necrotrophic fungal pathogen response; Resurrection approach","evolution of pathogen response genes associated with increased disease susceptibility during adaptation to an extreme drought in a brassica rapa plant population","Resurrection experiment","article","plant","Brassica rapa","drought","WGS","historical","27","27","10.1186_s12862-021-01789-7.pdf","anthropogenic","anthropogenic"
"145",146,"10.1186_s12864-016-3298-6.pdf",NA,NA,NA,NA,NA,NA,NA,"brown","no",NA,NA,NA,NA,NA,"Lots of pi stats but no comparisons over time",NA,NA,NA,NA,NA,NA,NA,NA,"Brown","Yes","No","No","No","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"brown","yes","How has selection shaped tuberculosis populations in New York City and New Jersey?","candidate gene list","multiple temporal","host-pathogen","dN/dS","yes","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","brown","yes","multiple_spatial","natural evolution","entire genome","see notes doc","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,157,"No",NA,NA,NA,NA,NA,NA,NA,"may","10.1186/s12864-016-3298-6",2016,"BMC GENOMICS",17,"","NA NA wos","Brown; TS; Narechania; A; Walker; JR; Planet; PJ; Bifani; PJ; Kolokotronis; SO; Kreiswirth; BN; Mathema; B","Brown","Mycobacterium tuberculosis; Whole genome sequencing; Phylogenomics; Surveillance","genomic epidemiology of lineage 4 mycobacterium tuberculosis subpopulations in new york city and new jersey; 1999-2009","Details really hard to find; no generation time reported","article","bacteria","Mycobacterium tuberculosis","host-pathogen","WGS","historical","10",NA,"10.1186_s12864-016-3298-6.pdf","host-pathogen","host-pathogen"
"146",147,"10.1186_s12864-021-07700-4.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Peck","yes","did F. xylaroides aquire pathogenicity genes from F. oxysporum","candidate gene list; virulence and growth pathways but not many drug resistance mutations","multiple_temporal","horizontal gene transfer","dn/ds","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159,"No",NA,NA,NA,NA,NA,NA,NA,"may","10.1186/s12864-021-07700-4",2021,"BMC Genomics",22,"1","NA scopus NA","Peck L.D.; Nowell R.W.; Flood J.; Ryan M.R.; Barraclough T.G.","Peck","Comparative genomics; Effector; Fungi; Fusarium oxysporum; Host adaptation; Proteome","historical genomics reveals the evolutionary mechanisms behind multiple outbreaks of the host-specific coffee wilt pathogen fusarium xylarioides","can be dormant for up to 5-10 years","article","fungus","Fusarium xylarioides","host-pathogen","WGS","historical","52","N/A","10.1186_s12864-021-07700-4.pdf","host-pathogen","host-pathogen"
"147",149,"10.1186_s12866-021-02158-6.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Iwasaki","Yes","No","No","No","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"iwasaki","yes","How does the covid genome change while in a human cell environment?","candidate list of mono- and oligonucleotide changes","multiple temporal","host-pathogen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,"No",NA,NA,NA,NA,NA,NA,NA,"august","10.1186/s12866-021-02158-6",2021,"",NA,"","","Iwasaki Y.; Abe T.; Ikemura T.","Iwasaki","","Human cell-dependent; directional; time-dependent changes in the mono- and oligonucleotide compositions of SARS-CoV-2 genomes","","article","virus","Covid-19 virus","host-pathogen","WGS","historical","0.83333333","60.8333333","10.1186_s12866-021-02158-6.pdf","host-pathogen","host-pathogen"
"148",150,"10.1186_s13059-018-1503-4.pdf","mallard","yes",NA,"single",NA,"J�n�s et al 2016","219",NA,NA,NA,NA,NA,NA,NA,NA,"mallard",NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mallard","yes","What is the genetic architecture of thermal adaption?","Large-effect loci segregat at intermediate allele freq, allowig for rapid response to selection","single","temperature; experimental","CMH","no","0.06, see figure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mallard","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162,"Yes","mallard","no",NA,NA,NA,NA,NA,"august","10.1186/s13059-018-1503-4",2018,"",NA,"","","Mallard; Francois; Nolte; Viola; Tobler; Ray; Kapun; Martin; Schloetterer; Christian","Mallard","","A simple genetic basis of adaptation to a novel thermal environment results in complex metabolic rewiring in <i>Drosophila</i>","","article","invertebrate","Drosophila simulans","experimental","poolseq","experimental","#N/A","64","10.1186_s13059-018-1503-4.pdf","experimental","experimental"
"149",151,"10.1186_s13059-021-02425-9.pdf","otte","yes",NA,"multiple_spatial",NA,"poolseq R package","none","otte","no",NA,NA,NA,NA,NA,"Does not report pi in evolved pops",NA,NA,NA,NA,NA,NA,NA,NA,"Otte","Yes","No","No","No","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"otte","yes","Does population ancestry or selection regime determine temperature adaptation?","population ancestry","multiple_temporal","temperature; experimental","allele frequency change, CMH","yes",NA,NA,"otte","no",NA,NA,NA,NA,NA,NA,"controlled for drift but not really a focal result","","","","","","","","","otte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163,"Yes","otte","no",NA,NA,NA,NA,"identifies targets of selection by looking for changes in allele frequencies across replicates","august","10.1186/s13059-021-02425-9",2021,"",NA,"","","Otte K.A.; Nolte V.; Mallard F.; Schl√∂tterer C.","Otte","","The genetic architecture of temperature adaptation is shaped by population ancestry and not by selection regime","","article","invertebrate","Drosophila simulans","experimental","poolseq","experimental","4","50","10.1186_s13059-021-02425-9.pdf","anthropogenic","anthropogenic"
"150",152,"10.1371_journal.pbio.0030300.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holmes","yes","Do novel H3N2 lineages outcompete old ones or do they coexist?","They coexist","multiple temporal","host-pathogen",NA,NA,NA,NA,"holmes","no",NA,NA,NA,NA,NA,NA,"antigenic drift not evolution drift","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164,"No",NA,NA,NA,NA,NA,NA,NA,"august","10.1371/journal.pbio.0030300",2005,"",NA,"","","Holmes E.C.; Ghedin E.; Miller N.; Taylor J.; Bao Y.; St. George K.; Grenfell B.T.; Salzberg S.L.; Fraser C.M.; Lipman D.J.; Taubenberger J.K.","Holmes","","Whole-genome analysis of human influenza A virus reveals multiple persistent lineages and reassortment among recent H3N2 viruses","","article","virus","Influenza virus","host-pathogen","WGS","historical","5 or 4","#N/A","10.1371_journal.pbio.0030300.pdf","host-pathogen","host-pathogen"
"151",153,"10.1371_journal.pbio.2001586.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yen","yes","Do drug-order specific effects lead to variations in antibiotic resistance?","yes","multiple_temporal","antibiotics","novel mutation identification; minimum inhibitory concentration analyses of mutations","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166,"Yes","yen","yes","partial",NA,"partial","partial","see figure 5","august","10.1371/journal.pbio.2001586",2017,"",NA,"","","Yen P.; Papin J.A.","Yen","","History of antibiotic adaptation influences microbial evolutionary dynamics during subsequent treatment","","article","bacteria","Pseudomonas aeruginosa","experimental","WGS","experimental","0.05479452 or 0.109589041","180 or 960","10.1371_journal.pbio.2001586.pdf","host-pathogen","host-pathogen"
